exrxn,lb
EX_ocdca(e),-0.169283
EX_ttdca(e),-0.068676
EX_ocdca(e),-0.169283
EX_ttdca(e),-0.068676
EX_ocdca(e),-0.169283
EX_ttdca(e),-0.068676
EX_ocdca(e),-0.169283
EX_ttdca(e),-0.068676
EX_ocdca(e),-0.169283
EX_ttdca(e),-0.068676
EX_ocdca(e),-0.169283
EX_ttdca(e),-0.068676
EX_ocdca(e),-0.169283
EX_ttdca(e),-0.068676
EX_ocdca(e),-0.169283
EX_ttdca(e),-0.068676
EX_ocdca(e),-0.169283
EX_ttdca(e),-0.068676
EX_26dap_M(e),-1
EX_cys_L(e),-1
EX_gly(e),-0.45
EX_ile_L(e),-0.15
EX_adn(e),-1
EX_dad_2(e),-1
EX_adn(e),-1
EX_dad_2(e),-1
EX_ser_L(e),-1
EX_ocdca(e),-0.169283
EX_ttdca(e),-0.068676
EX_ocdca(e),-0.169283
